Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/7/6, 00:00:00, 2074.50, 2085.00, 2056.25, 2084.50, 2054794, 2991181, 0, 0
2016/7/7, 00:00:00, 2082.50, 2092.50, 2072.25, 2082.50, 1666356, 2972636, 0, 0
2016/7/8, 00:00:00, 2082.50, 2116.00, 2078.00, 2111.00, 1962358, 2990354, 0, 0
2016/7/11, 00:00:00, 2110.75, 2127.25, 2110.50, 2120.75, 1467322, 2989265, 0, 0
2016/7/12, 00:00:00, 2121.25, 2139.75, 2119.00, 2136.25, 1704053, 2954643, 0, 0
2016/7/13, 00:00:00, 2136.25, 2142.75, 2130.00, 2136.50, 1633489, 2971143, 0, 0
2016/7/14, 00:00:00, 2135.75, 2158.50, 2133.25, 2147.75, 1782561, 2972196, 0, 0
2016/7/15, 00:00:00, 2147.00, 2155.25, 2133.75, 2143.25, 1518276, 2929258, 0, 0
2016/7/18, 00:00:00, 2145.00, 2153.75, 2143.25, 2150.50, 1205765, 2948315, 0, 0
2016/7/19, 00:00:00, 2150.50, 2151.25, 2141.75, 2149.25, 1151631, 2949823, 0, 0
2016/7/20, 00:00:00, 2149.50, 2160.25, 2145.75, 2158.00, 1134131, 2941964, 0, 0
2016/7/21, 00:00:00, 2158.75, 2160.75, 2144.00, 2148.50, 1300678, 2924164, 0, 0
2016/7/22, 00:00:00, 2149.50, 2159.75, 2146.50, 2158.00, 1133059, 2948052, 0, 0
2016/7/25, 00:00:00, 2158.25, 2163.00, 2146.25, 2152.75, 1264905, 2933070, 0, 0
2016/7/26, 00:00:00, 2153.25, 2158.50, 2144.25, 2153.75, 1609035, 2934771, 0, 0
2016/7/27, 00:00:00, 2156.50, 2159.75, 2142.50, 2151.00, 1642569, 2924284, 0, 0
2016/7/28, 00:00:00, 2153.25, 2159.00, 2144.00, 2155.25, 1622142, 2925225, 0, 0
2016/7/29, 00:00:00, 2156.00, 2162.25, 2148.00, 2158.75, 1718155, 2881534, 0, 0
2016/8/1, 00:00:00, 2164.50, 2168.25, 2150.25, 2155.00, 1659094, 2894206, 0, 0
2016/8/2, 00:00:00, 2156.50, 2161.50, 2132.00, 2143.25, 1958950, 2902982, 0, 0
2016/8/3, 00:00:00, 2142.75, 2148.75, 2135.75, 2147.50, 1371176, 2900807, 0, 0
2016/8/4, 00:00:00, 2147.25, 2154.75, 2144.50, 2149.75, 1239577, 2885181, 0, 0
2016/8/5, 00:00:00, 2150.00, 2169.00, 2149.75, 2167.25, 1370482, 2882132, 0, 0
2016/8/8, 00:00:00, 2166.50, 2173.50, 2163.75, 2166.00, 970557, 2855905, 0, 0
2016/8/9, 00:00:00, 2166.50, 2174.00, 2164.25, 2168.00, 1191826, 2877471, 0, 0
2016/8/10, 00:00:00, 2168.50, 2172.00, 2158.25, 2163.25, 1371937, 2892125, 0, 0
2016/8/11, 00:00:00, 2163.00, 2175.75, 2160.50, 2172.25, 1326004, 2894148, 0, 0
2016/8/12, 00:00:00, 2172.25, 2174.50, 2166.00, 2170.75, 1270055, 2893992, 0, 0
2016/8/15, 00:00:00, 2171.25, 2181.25, 2171.00, 2176.50, 1090675, 2918800, 0, 0
2016/8/16, 00:00:00, 2176.50, 2176.75, 2165.75, 2167.25, 1391768, 2892388, 0, 0
2016/8/17, 00:00:00, 2168.00, 2172.50, 2156.00, 2170.25, 1702425, 2895653, 0, 0
2016/8/18, 00:00:00, 2171.25, 2175.00, 2166.75, 2174.00, 1201115, 2910049, 0, 0
2016/8/19, 00:00:00, 2174.00, 2174.75, 2163.00, 2172.25, 1431860, 2911683, 0, 0
2016/8/22, 00:00:00, 2172.25, 2175.00, 2164.00, 2172.00, 1543249, 2920136, 0, 0
2016/8/23, 00:00:00, 2171.25, 2182.00, 2169.75, 2175.75, 1125503, 2940595, 0, 0
2016/8/24, 00:00:00, 2176.25, 2178.25, 2159.25, 2165.50, 1508048, 2941003, 0, 0
